Bloomberg ID,Actual Cover,No Synth Pred,No Synth Error,bootstrap Pred,bootstrap Error,ctgan Pred,ctgan Error,glow Pred,glow Error,ddpm Pred,ddpm Error
MDPK 2015-19A ER3,102.32,102.479,0.159,102.833,0.513,101.207,-1.113,102.332,0.012,102.966,0.646
GNRT 2024-14A E,98.23,98.072,-0.158,98.664,0.434,98.944,0.714,98.898,0.668,99.03,0.8
TRNTS 2023-23A ER,95.2,95.043,-0.157,95.038,-0.162,95.584,0.384,94.456,-0.744,94.502,-0.698
ORCHPK 2024-1A E,97.5,97.657,0.157,97.917,0.417,99.186,1.686,97.371,-0.129,97.429,-0.071
RAD 2024-28A E,94.01,94.159,0.149,94.298,0.288,95.002,0.992,94.039,0.029,94.457,0.447
MVEW 2025-1A E,95.0,95.142,0.142,95.227,0.227,96.069,1.069,95.588,0.588,95.645,0.645
MDPK 2019-34A ERR,96.0,96.141,0.141,96.717,0.717,96.016,0.016,95.998,-0.002,96.777,0.777
KKR 36A E,94.65,94.772,0.122,94.643,-0.007,95.17,0.52,94.308,-0.342,93.177,-1.473
WOODS 2021-25A E,98.91,99.007,0.097,98.724,-0.186,98.925,0.015,98.45,-0.46,99.305,0.395
DRSLF 2022-109A ER,93.75,93.824,0.074,93.93,0.18,95.483,1.733,93.206,-0.544,94.476,0.726
BRTPT 2023-1A ER,101.5,101.434,-0.066,101.507,0.007,101.149,-0.351,101.172,-0.328,101.111,-0.389
SHACK 2015-7RA E,91.0,91.049,0.049,88.25,-2.75,91.599,0.599,90.205,-0.795,91.39,0.39
RAD 2021-12A DR,99.75,99.797,0.047,99.608,-0.142,99.602,-0.148,99.569,-0.181,99.429,-0.321
CARVL 2022-1A ER,94.37,94.337,-0.033,94.272,-0.098,95.392,1.022,94.026,-0.344,93.638,-0.732
ELM39 2025-2A E1,100.54,100.557,0.017,100.43,-0.11,100.744,0.204,100.786,0.246,100.406,-0.134
